year,text
2011-05-02, I would stay here again, primarily because of the location and the price. Both were excellent. Plus they have free internet which is useful. Downsides are that the bed was pretty uncomfortable and there was only one bathroom in the dorm between 10 girls - ok if you get up earlier than everyone else, but if not you'll have to wait around or go outside and back into the main building where there's more showers. There also isn't a communal area to hang out so that reduces the social aspect a bit.
2011-03-12, The hostel is in front Red Light, but is closer to the central station. \r The clenear enter in your room before the check out and i was in the bathroom, i didn't like this situation!
2011-06-10, this was my first time to Europe and to a hostel. I've visited several countries now and so far Aivengo has been a GREAT hostel. i recommend it to every one. The location is the best, as soon as you walk out you already have everything Amsterdam has to offer; bars, restaurants, coffee-shops, red-light, mini-markets, magic shops, metro station. i was amazed of all the things that are available from the door step of this hostel.\r now the staff, this guys are really cool, very helpful and very nice.
2011-03-10, I found the staff really helpful - especially the guy who checked me in and who shared my thoughts on how awful birthdays are! The location is great and there was a really nice feel to this place - obviously I was also lucky with the people in my dorm. The dorm was really big, lots of space and not very noisy. I would stay here again! Thank you :)
2011-02-28, Towels are not free as it is mentioned in their web site. It cost 1€.
2011-03-04, A nice cheap hostel. Was a bit hesitant about staying in a 20 bed dorm but was good. Showers were great. Only complaint I have is that they left the door to the dorm open from 9am letting noise from reception in and making it hard to sleep in. So bring your earplugs/eyemask. Also note the lock out 4-6am. They only provide 1 blanket, so I brought 1 of my own, but to be honest the heating is turned up enough that it was sufficient for me. I did hear a guy next to the window complain though.
2011-02-22, Bring something warm to sleep in. :) The staff at the desk were sooo helpful and welcoming. Thank you!
2011-02-16, This hostel was close to Centraal Station, downtown Amsterdam, and the staff was really nice. You do get what you pay for and there seemed to be no heat in the hostel when I visited in February. No biggie considering what I saved in money. The only suggestions I would make is to remove the non-functioning door (serves as a window now?) they have in the mixed dorm room because it lets the cold in and you can hear everybody's conversation smoking outside through that door.
2011-02-23, You get what you pay for! The 4 person room was very very basic and the bunk beds were like sleeping on rocks, but after being on the lash all day its somewhere to crash. The shower was really good and the location was 5 mins from everywhere, i think the receptionist was a bit hangover on our arrival but a pleasant guy. Would recommend if your a group of mates after a bed with a roof over your head and thats it, which close to the station and main bars etc
2011-01-03, The dorms were nice and clean. The only problem was that there was only one shower for 10 girls to share. So there was a lot of waiting... The location was excellent! I'd definitely stay there again.
2014-06-24, Only 2 plug points
2010-12-21, we enjoyed our stay a lot!! it was a really nice place. i recommend this to all first timers and experienced travelers.
2011-03-03, I think the best thing about this hostel is the location. They had warm water. Nothing else! We stayed in a twin room with a bathroom. It was the smallest and most uncomfortable room I’ve ever stayed. Moreover, you can’t use half of the room as the ceiling gets lower and lower. It was in the sixth floor and they didn’t offer any help although I had asked for it. The room was not that clean. The bathroom looked so so, but I had to clean someone else’s hairs in the tiny shower cabin.Bathroom had a folding door which was broken. In other words there was no door in the bathroom. We complained about it; they told they would fix it, but they simply ignored it. The beds were terrible. We woke up each time we turned around and it was not possible not to turn as you feel the bedsprings in your back. There were no extra blankets and we slept with our coats and hats. The staff needs social training. Most probably he felt how disappointed we were but instead of trying to compensate, he avoided eye contact. When I complained about the hairs in the bathroom, they only looked at each other and didn’t say one single word to us. If we had had more time in Amsterdam, we would have definitely tried to find somewhere else. I would never ever recommend Aivengo Hostel to any of my friends. Horrid!
2010-12-28, Good in general. But some facility is not sufficient, such as socket and pantry. Even not a single socket in the room that 20 people stay.
2014-06-05, Perfectly adequate! Would stay here again. My friend and I were in the 10 bed female dorm and we had a great stay. Everyone else in the full room was very respectful and quiet. This isn't a party hostel, it's a place to sleep. I felt that everything was clean and the beds were surprisingly comfortable. I also liked that the female dorm is 10 separate beds, not bunk beds. The room is very large and felt airy. It even has a nice little balcony too! As a heads up, there is a red light corner nearby
2014-05-29, Great experience at Aviengo Hostel. The staff was very kind and helpful throughout my stay. The hostel is in a great location, and the beds were very comfortable. Overall, a great stay that satisfied all my needs.
2014-05-01, We had a private room. It was clean and safe, which is all we really asked for. Staff were helpful if we had a query. Would stay again.
2014-06-09, no air con but its in a great location the size of bathroom and shower room was a joke but its decent no one wanted to talk to each other and there was no way meeting new people
2014-06-05, 5 of us from the US stayed at this hostel and loved it. We chose the women's mixed dorm and it definitely was the way to go. The room was a huge loft with a giant window over looking Spuitstraat St. The location is perfect in the center of the city. 10/15 minute walk to Anne Frank/ Dam Square & many other attractions. This hostel is also super close to Grand Central Station which is great for travelers .The front desk tenant was so helpful & sweet, and we had free wifi. Room was cleaned daily.
2014-05-27, Ok. The room is really closed, no sun coming in. Nice location, and for the money, it worths!
2014-05-13, 22 beds in a dorm... Cheap, gets the job done. Staff was friendly, shitters are tiny, but I'm also a large American.
2014-05-15, Actually there is nothing special thing except the location. It takes only 5 mintes from central station. Staff at front desk exactly do what he had to do neither kind or rude. I stayed in 20mix dorm and it smelled bad but can be bearable.
2014-05-13, I stayed with my friend in the 10 female dorm and it was spacious. There is a bathroom, a kitchen with microwave and fridge in the dorm. Wifi is strong in the room. The location of the hostel is excellent and it is just five minutes away from the station and easy to locate.
2014-05-01, Average for a hostel but price is far too high for what you get
2014-04-26, Great location, good staff. Atmosphere was slightly lacking with little to no common area, but taking a few steps out into the city fixed that.
2014-04-25, The staff are unfriendly and rushed me out before the check out time
2014-05-02, From all the hostels I have stayed, this is the worst. Price is abaurdly high (I paid 45 euros per night) and quality is way too poor. Cleanliness is too poor, bed sheets look like they have been around for 20 years and they wash them every 2 months. There is just 2 rooms of 20 people and 4 toilets and 4 showers for all of them. I have to say that is well located and staff try to be helpful.
2014-04-21, The location of this hostel is spot on! It is very near to Amsterdam Centraal and places of attraction is within walking distance which is very, very convenient. The staffs are very helpful and friendly.
2014-04-17, Hostel has everything you need but it's quite expensive. The location is great as it's a 5 min walk from Centraal Station and you can walk to some main attractions. Hostel lacks a friendly, warm atmosphere.
2014-04-13, The staff was really good and helpfull, cosy place! If i go back to amsterdam i will deffenitly live there again!
2014-04-12, They should communicate the hosts that they would be separated in two different rooms and if there is no possibility to change, do everything that's possible to help. \r They were really unpolite.
2014-05-20, The hostel is not bad.It's a VERY low-cost hostel which is good for people who don't really care to have a nice stay but just a place to sleep.\r Our room was next to the entrance and there was no real window or something.Because of that,the whole room was smelling.The toilets are next to the entrance and the "reception" and you can see everything which is pretty uncomfortable.Fortunately enough,toilets and rooms were not dirty.\r At this point,I would like to comment that the staff was horrible.
2014-04-11, Very good location only. Dirty facilities, bad atmosphere, no kitchen facilities.
2014-04-15, The only thing I liked from Aivengo Hostel was that the bathrooms were clean and the staff members were nice to us. But, the Hostel's reception/ living room is too small and uncomfortable. Although I was staying in a 22-beds room, I think they can be rearrange, somehow, in a more organized way, so it would give a more private appearance.\r In addition, there is only ONE plug for the 22 beds, so it was impossible for me to charge my cel phone and my camera. OveralI, I don't recomend the hostel.
2014-04-11, Five of us stayed in the female 10 bed dorm. A key was required to get into the room and the main door. We also had lockers so we always felt secure. Staff were friendly and helpful. We didn't hang out in the hostel much as we preferred to do our own thing so this place was ideal for what we needed. We would stay here again.
2014-04-07, Great place. Warm and cosy with sparks of vintage style. However there is only one plug for each dorm of 20 people which is not convenient and the lockers are quite small.\r Apart from them very nice conditions and clean to stay, easy access to many fun places in Ams.
2012-11-08, hey everyone!\r it wasnt a bad stay - and with a room that holds 20 people, it often depends on the individuals, however there wasnt a real feel of cleanliness. i was in an upper bunk-bed - a thin matrices held up by thin metal beams and on thick pole through the centre pressing through the bed and into my back - which wasnt particularly comfortable and the locker felt like it had been forcefully opened before... \r it wasnt a bad stay and served its purpose, and the price was fine...
2014-04-03, Really colorfull place, the 20 people room only has a small window, so there is a lack of air circulation. Despite that, beds are really comfortable and the staff is really nice. There is no kitchen! Just a spot with a microwave.
2014-03-31, I would still chose this hostel next time!
2014-04-03, The room smelt so bad. There were no kitchens, the mugs were too dirty to use. The bed sheets seemed very worrying. Hostel staff barely spoke to us. They didn't give any guidance as in where to go and just seemed indifferent. People didn't talk to others in the same room. It was kinda depressing to live in. \r I know for the price probably we couldn't ask more, but maybe just some better sheets and a smile will make a difference.
2014-03-31, The location is great and it's a good place to stay if you don't need to cook and if you don't mind not having a comunal area.
2014-03-31, Really nice room, with a lot of space and private bathroom per room. It is located in a nice street, easy to find and near the train station. The staff was kind, friendly and helpfull. Really enjoyed my stay there, one of the best hostels I've ever been.
2006-04-12, Very nice staff, useful tipps for sightseeing stuff. Cosy atmosphere, especially for peeps who like cats - Andar, we will miss u!
2014-03-22, My room was supposed to be a 10-bed room but there were 13 beds there on the first night I stayed. The building is quite old and there's no stove to use. But everything was quite clean and the location is perfect. Would recommend.
2014-03-05, They did what they could with the space. it is located in charming golden age building with small communal space and two large dorm rooms. Staff is very friendly and helpful, and hygiene is very good considering how much people it accommodates. Location is superb, within a short walking distance to dam, red light etc.
2014-03-15, Pretty small place with minimal facilities, but makes up for it by being in in a great location. Amsterdam is pretty expensive, but 18/14 Euro for a Weekend/Weekday bed is a little on the pricey end. Since megadorms are the only option here, you might get rudely interrupted by other drunk hostellers late at night if you're not into that sort of thing yourself.
2014-02-20, Nice, clean and cheap hostel. Close to everything ;)
2014-03-12, In general this was a good hostel. It's definitely well priced and was the cheapest we found in Amsterdam. The biggest issue we had was the lack of any common area; it's just a check in desk, two large dorms with beds and then a shared bathroom. The staff was helpful, and had plenty of maps. There is a one euro charge for towels, but lockers are free which is nice! I would definitely recommend bringing shower shoes though.
2014-02-17, This hostel was really great! We were very warmly welcomed. The room was really big and very clean. The bathroom was incredible!
2014-03-04, It's a good and cheap place if u wanna just sleep.. There are more hostels closer to the red light, which is where most of the things happen. I missed a place to meet new people.
2014-02-05, stayed 2 nights in a 4 bed private room. has private bathroom. really nice for the price. great location.
2014-02-06, No common areas, a little bit noisy in the room I stayed. Good if you're looking for a cheap hostel though.
2014-02-07, I stood in the 20 bed dorm and I like my experience very much. The room was very big so the 20 people had some space to move around and also the decoration was very nice. The showers and toilets very clean and the hostel is very weel situated just near by the central station.
2014-01-07, Perfect location, friendly and welcoming staff and I will definitely be coming back!
2011-03-11, 1) They should buy pesticides against moulds\r 2) Latted frames instead of card boards for ALL beds would be nice\r 3) Basins and shower only with folding door and not separated - can take ours till you can get in front of the mirror/basin\r 4) Not very logic, if you book a GIRLS ONLY room, but a room allocated to this one being for private use (or rented as well) and there are MALES in there crossing your FEMALE room several times a day without knocking\r 5) 10 persons in room + 2 "private" - 1 toilet
2014-03-07, This hostel was really cool! We wanted to find one of the cheapest place, where to stay during the night in downtown. Despite the fact we stood with 20 people in one room, no one disturbed the others and so we could sleep like Sleeping Beauties. Just expected the towel for free, which wasn´t (but just for 1 euro) and one of the shower was a bit weaker, but there was dryer (which saved my space in luggage). I can very recommend this hostel and definitely will stay there next time again!
2014-01-02, Best hostel ever!!!
2014-01-23, Good things: Excellent location, kind staff and suitable place to socialize with other people. Bad things: Baths and things smell a bit damp, no everyday cleaning, i didn't feel comfortable in bed. No plugs close to beds, for 22 people room, just 2 plugs which is senseless.
2014-01-02, Absolutely fantastic stay ! warm comfortable cosy beds ! Although I would have liked more socket points in the walls please! 2 plugs are not adequate for 20 people to share ! If at all possible place sockets by beds !?
2014-01-25, the room is very cool. we are from russia yet we still feel cold in the room. i suggest put some portable heater and some carpets on the floor. All and all, everything else is perfect.
2013-12-20, Extremely friendly and helpful Staff; I wish I had known that there is no living room there :P aprat from that, all great! Thank you!!
2011-10-03, The only thing that was missing was a room for everybody to hang out..and the kitchen only contains hot water cooker and a micro wave, so prepare for that ;).
2014-01-02, It's not worth the price. The hostel closes from 4 am until 6 am, during this time you can't go inside de hostel. They say everything closes at 1, not true, I saw myself leaving the party earlier because I didn't want to be lock outside, it was very cold. Everything looks durty and smells bad. No comum area, no kitchen, no place to charge phones, jus 2 wall outlets in a room with 22 people. I have been to amsterdam earlier and I can say this hostel can break the fun of the place.
2014-01-02, We stayed in a mixed dorm which was ok, the only problem was that some of the walls and some of the dorm was dirty- there was chewing gum stuck onto the wall next to my bed and some of the room mates were really loud....... which is to be expected in a room full of 20 people.
2013-12-21, there is no good atmosphere as you will find in most hostels because there is no living room where everyone can meet or no events organized to make people meet but other than that, everything is perfect. the room is clean and spacious and so well located ! I will recommend this hostel to any of my friends who would like to spend a few days in Amsterdam regardless what they want to do - shopping, clubbing, sightseeing - !
2013-11-15, Hostel is really close to city center.
2013-12-10, The hostel was in a brilliant location! Within walking distance of major attractions. The 10 bed female dorm was very large and pretty with a nice little balcony. The cooking facilities were simple but useful (fridge, microwave, kettle, freezer).The room had a decent sized en suite with a toilet, shower and bath (be careful the shower gets very hot). Radiators with temperature control meant I was never too hot.All in all great value for money as I only spent €25 for 3 nights. Highly recommended!
2013-07-24, Fairly good location, rooms were pretty horrendous, shared with well over 20 people even though our booking was with 20. The beds were extremely uncomfortable, and there was no communal area which would have at least improved it a bit
2013-12-06, Great hostel, great location close to dam square and the red light district. Super close to the station! We had a private room and it was huge with kitchen and bathroom and really nice views. Only bad thing was carrying bags up 5 stories but the building was old so it was understandable! Definitely would stay again!
2013-11-06, Great spot for startingnout in Amsterdam. Big dorms , great staff , and attractions/coffeeshops right around the corner
2014-01-03, Well localized and nice decoration. Common toilets for everyone, but I didn't have to wait to use. The staff on the first time was very gentle and helpful, on the other hand, in the morning everyone was rushed by an attendent which was in a very bad mood and we weren't even able to stay in the common area due to the cleaning, it was quite stressful. No kitchen, just a microwave and some appliances next to the wc's. The rest was ok.
2013-11-08, Expensive for a 20 beds dorm, really cold in the rooms at night and no possibilitiy to get an extra blanket, cold water in the shower. Unconvenient curfew, NO facilities (bikes rental, kitchen, bar, parties, pub crawls, free walking tours...).\r \r However awesome location, just 3 minutes walking from Jordaan, the Centraal Station and the Red Light District.
2013-10-15, Great price great location
2013-10-11, It is a good hostel for the price you pay.
2013-11-13, Adequate, but not exceptional. It did the job with no frills. It would have been great to have a communal area to talk / hang out. There was a couch in the female 10 bed dorm, but obviously when you want to chat with your friends at midnight this is not ideal for the people who are trying to sleep! Your other option was just a couple of couches in the reception area, which isn't great. \r \r Biggest turn off for me was that there was no door to the bathroom in the 10 bed female dorm!!!!
2013-10-26, A great little hostel to stay at if you want to be in the middle of everything! Stayed for 6nights Got to meet a lot of people! The owner and his wife were really helpful and super friendly and accommodating with useful information and tips while travelling! Owner was discussing renovations for the place and I think they have some great ideas in store! Would most certainly stay again at this hostel! PRIME location mins away from central station and bars/food market stores!!! :)
2013-10-09, The staff here were extremely rude and unhelpful. I was very very glad though I got moved to the female dorm, having a kitchen was a . You can find cheaper and better hostels. No atmosphere what so ever. Only good thing is the free towel and location.
2013-10-04, Excellent value for money. Clean as possible for a room for 20 people. More quiet and calme than the others hostels in the same area because is not a hostel/pub. The location and the very good internet are the best things.
2013-10-03, People sleeping there were not friendly. But of course you cannot do anything about it. Other than that, your hostel was perfect :)
2013-09-28, I stayed in the female only dorm which was really nicely decorated and set up. Good price, good location, would stay again if I visited amsterdam.
2013-09-25, Very good position; the staff was really kind and happy to give me all informations.
2013-09-28, Although this hostel was different from the ones I have stayed in, it had done its job. I had a blast here, it was very fun. I stays in a 10 bedroom female dorm and I love it! You didn't have much privacy in the bathrooms, but that only made it easier to chat with everyone
2013-09-19, A larger kitchen area would be needed, and if possible not right outside toilets and showers, which is kinda disgusting
2013-10-29, If I ever came back to Amsterdam I would definitely stay here again. The staff was extremely knowledgeable and accommodating to our group's needs, and overall the facilities were clean and pretty good, especially considering how cheap it was to stay there. The location was solid, about 10 minutes from Anne Frank House and the Red Light district, and then probably 25-30 minutes walking to the city center of Amsterdam (e.g. Vondelpark, Van Gogh museum, etc).
2013-09-18, Nice atmosphere in the dorm, friendly staff, super Location, fair Price - would definately come back!
2013-09-17, The kitchen consists of a fridge, kettle and microwave with some pots - which kind of limits your cooking options.
2013-09-12, room needed vacuming, and the hall way was also very dirty. Alot of staris!!
2013-09-13, We had to wait a few extra hours to check in when it specifically said 11 am on the paperwork. the room was not quiet and ten girls in one bathroom was a bit much but it was In a great location and clean overall.
2013-10-03, The best thing about Aivengo is the location: it's central to a ton of different things and walking distance from Centraal station (so no cab from the airport!), but just far away enough from the Red Light District that the street was cute and uncrowded and quiet-ish at night. The staff wasn't especially friendly, but the beds, room and bathroom all were clean. We stayed in the 10-bed female dorm, which had its own kitchen and bathroom. Don't expect anything fancy, but it is a great deal!
2013-08-28, The room was really spacious and clean along with being very close to the station! Would definitely stay there again if I went back to Amsterdam :)
2013-09-10, Had a 3-4 hour wait when we arrived although we were told it would be ready. Room was unclean. Room was freezing. Stayed at the Movenpick hotel in the city centre before and it was roughly the same price(on offer) and was amazing compared to this 'hostel'.
2013-09-01, I thought the value was good for what this hostel offered but it was most definitely not the best hostel experience I have ever had.
2013-08-27, Great location. We stayed in a twin-private, which was super cute and clean. Had to climb a lot of stairs, but the beautiful common area and kitchen are worth it.
2013-08-22, Simply put, this is a place to sleep. Don't expect a common room or kitchen because there's not. Only a microwave and mini fridge. Aside from that the best part about the hostel is its location which is an easy walk to the station and historic/nightlife spots.
2009-07-15, Perfect. Amsterdam Cribs is the best hostel I have ever been. The manager is very kind, helped us a lot. The room is clean and tidy, as well as the kitchen.
2013-09-02, In an excellent location, for those interested very close to the red light district. But thats about it, probably one of the cheapest hostels we could find, but it shows. Huge rooms with 20 people, I could feel every bar on my bed as I was sleeping and the toilets, common room, reception and showers are all in the same room
2013-08-16, didnt feel clean.
2013-08-20, Lovely spacious room. The only downsides were the lack of kitchen facilities (just a microwave) and the lack of common room. A nice hostel, one of the cheapest in Amsterdam - would recommend!
2013-08-14, We took a room for 4 persons. It was like having a small flat in the center of Amsterdam!
2013-08-14, Staff very relaxed and tolerant, loved the hostel, the only thing that sucked - matresses are too thing making the sleeping uncomfortable
2013-08-11, One of the staff at night is not very helpful.
2013-08-18, Staff could be more professional, i don't ask for top hat and tails reception but think all male members of staff should wear a t-shirt! Nice room, good view, good bathrooms. Rooms all clean.
2013-08-12, I was in a 10 female bed dorm; it was quite spacious and had a great view outside! The beds were basically cots and while not super comfortable, definitely noisy. The location makes this place! There's no common room/lounge, which is unfortunate but again the location is great!
2013-08-07, They cancelled my booking because of the arrival time.
2013-08-08, Very good location, close to the train station and the city center ! But no commun leaving room or real kitchen (just a tiny fridge and a micro-wave). Fine if you want just have somewhere to sleep, but unpleasant to stay during the day, not convivial at all. Doors are always open and the staff not watching on.
2013-08-11, Aivengo Hostel is totally amazing! I stayed in a room with other 9 girls for 3 nights and everything was perfect. The staff was very kind and the room was clean and very comfortable, also the position is perfect to visit Amsterdam: just 2 minutes walking from the Dam. I really reccomend it!
2013-08-08, An average hostel. Located very close to central station; easy to find. Very close to the street, so it was pretty loud at nights. it was nice that it was non-smoking. Staff were friendly enough. The place was cleaned every morning, and surprisingly clean everywhere, especially for being in a 20 bed dorm. No common area; in general it was a pretty standard hostel for a good price, centrally located, but nothing special.
2013-08-05, Incredibly near everything, great staff, secure, always a very clean place (stood there for 10 days). There is indeed some problems, but that's why is called a youth hostel: I (we) don't care. Best benefit-cost.
2013-08-01, Very dingy spot. The hostel needs WAY more cleaning. Staff merely mopped. Staff also could be more friendly. Only pros are the location and the wifi.
2013-08-01, The hostel was the worst hostel i have ever been. I will never go to that place again. Horrible staff, smelly rooms, no security for your stuff. It was horrible. Totally not worth the money.
2013-07-31, Warning! The doors close at 4am and don't open until 6am and you are not allowed back in until 6am. They won't let you open the door to let anyone in either. Very stupid rule. The staff member was still there even after the doors were closed. It made no sense and sleeping on the street in front of the hostel wasn't fun. I will not stay here again or any place with a curfew.
2013-08-03, Security was only average because it had lockers for valuables. The code to get in the rooms is easy to guess because you can see on the keypad. Atmosphere was rubbish. Beds are way to close together I felt like I was sleeping with the guy in the adjacent bed his head as so close to me. Area isn't that nice but was close to the station. If I was to visit Amsterdam again I'd stay out nearer the museumplein.
2013-07-30, I stayed in a separate apartment with 3 friends. We were walked over by a staff member and shown everything we needed to know and got a city map that was extremely useful. The room was very basic but clean and comfortable, location was great close to everything. No problems at all felt safe and comfortable.
2013-07-30, Overall decent hostel for the price. However, our 'ten bed female room' consistently had twelve girls in it, eleven beds and a mattress on the floor. We also had issues with a male staff walking in the room while girls were changing, no knock or any warning at all. Location was great, close to all.
2013-07-04, We booked a 12 bed room and it was very spacious, we all had plenty of space and we were given our own lockers for a small deposit. The location was perfect, it was in walking distance of central station and the majority of other sites in Amsterdam.
2011-09-17, The kitchen is a joke!
2013-07-25, Location is great. Two blocks walk from Central station. Ten Minute walk to red light/Mid Daam. And the street outside is almost never deserted, which is a plus for a girl like me who was travelling alone. \r \r I stayed in a 11 bed female dormitory. It was very cute, and the facilities were decent minus the fact that we didnt have hot water for two nights. But that got fixed pretty quick. \r \r I would stay in this hostel again. It's location is great.
2013-08-02, Good thing about this property is the location and they have lockers.\r \r Bad things: there is no kitchen (only microwave), there is a curfew (would be amazing if they had told that when I was checking in), no living room/chill out area, they switch on the lights in the rooms at 9am (WTF?!!) and put some loud music so everyone wakes up in time for check out. There are two very nice receptionists but the other two were so rude and helpless and the beds are very uncomfortable. \r \r Hope this helps!
2013-07-25, Very good location!\r Shower without hot water, loud because it is in the centre, horrible stairs...
2013-07-27, I was in a group of four when we arrived and the staff upgraded us to a private room for four. This was fabulous. The room however was a few blocks down from the hostel- basically we had our own apartment from which we could come and go privately. This was very nice except we had no atmosphere, no chance to meet other people. We never went back to the main hostel except for check out. If you're looking to meet people and have the excitement of hostel life, this might prove disappointing.
2009-06-20, We'd stay there again for sure.
2013-07-24, I really loved this hostel. The room was clean and big. The only bad thing is that u have to climb a lot of small stairs but all the buildings in Amsterdam center are like that. The location is close to the Red Light District but it is a safe street and no noisy.
2013-07-22, I made the discumfortable discovery that my bed was partly broken (the steel bed base was partly unsoldered) and thus almost prevented me to sleep.\r Besides, there hardly is anything to cook : only a microwave hoven and some dishes. There wasn(t even a table and some chairs to seat around.
2013-07-15, Great location although the five flights of stairs was a bit of a shock, great view from the top though!
2013-07-14, Was decent enough for 2 nights but the flooring was ripped and wasn't too clean. Looked like it needed a lick of paint. \r Good location though.
2013-07-14, Very clean place, the staff was very helpful and the location was great, its near the red light and central station
2013-07-11, Loved this hostel!!! Great location and nice clean rooms. Kitchen with refrigerator & a bathroom in the room. This hostel is nice because it is close to everything and a quiet place to come home to after a night out.
2013-07-18, Basically a big room with 10 single beds but because it was so big you didnt feel cramp at all and no bunks which was great. There is an ensuite and a kitchenette. Everything is expensive in Amsterdam but this was confortable and in a good location making it a short walk - met some lovely Girls in the all female dorm.
2013-07-09, For the price, this hostel could use more plugs, more personnal rooms, a lobby...
2013-07-13, Stayed for 2 weeks it was spot on. Mattresses a little on the thin side and yes they do just fold up the blankets for the next person but, you regularly see the showers and toilets being cleaned as well as the rooms being swept. And a hip hop/rap wake-up call every morning, cool.
2013-07-10, Bizarrely decorated. Good location to the north part of Amsterdam though we found it quite hard to find. Wifi wasn't great and computers were very slow. It was extremely small, not great for meeting people. It had lockers but they didn't seem that hard to break into, though our stuff remained safe. Stayed for 3 nights, the third night was a Friday and the price doubled which made the stay no where near worth the money.
2013-07-09, The location is great, and the staff is very friendly. The place is rather small, and it's a little unconfortable in that sense, but otherwise it's a good choice
2013-07-09, Of all the places we had stayed on our trip, this hostel was one of the best. Really really spacious rooms with a ensuite bathroom and kitchen (although not working at the time). Fairly central, a bit further up the road, but really close to Centraal station (only about 5-10 minute walk) and everything in Amsterdam is walkable/cyclable anyway. Really would recommend this hostel!
2013-12-20, Aivengo is a quite well located hostel.I stayed with a friend for 2 nights,and we were satisfied.There were no special safety facilities for your luggage.Everything there was a safe,where you should leave as a deposit 10 euros in the reception and use the key until you go away.In general it was a good hostel.One annoying thing was the curfew between 4 and 6 am,which make you rush back to the hostel,in the chance of being locked out up to 6 am,one thing you should really bear in mind..
2013-07-06, This hostel was a big disapointment. They did not have a kitchen, the staff were unhelpful and unfriendly, it seemed like the place, especially the toilets never got cleaned. I would not reccomend this hostel to anyone.
2013-07-03, Aivengo was great, friendly welcoming atmosphere, fantastic location and very good value for money. I will definately be going back at some point.
2013-07-02, Very well situated, i just wish it would have been a little bit more clean. Great place to meet people.
2013-07-01, It's very basic, but clean, safe and very central :)
2013-06-28, Staff is absolutely amazing. They go out of their way to make you feel at home.
2013-07-08, Not much space to meet other people, but there's lots to do around! 5 min walk to Dam Square and Red Light District plus all the best coffee shops, 10 mins to Anne Frank house, 20 to the big museums and Vondelpark. Staff was very accommodating and diligent. You can still certainly meet other travelers, but an actual common room and kitchen would be excellent. Not the cleanest but I found everyone who stayed there tried their hardest to be respectful of the space and keep it clean.
2012-12-29, The beds are very bad, and you only have a small blanket, so at night you could freeze.
2013-07-06, the showers were very poorly installed and needed fixing. there was grime down the sides of my bed and only a mattress liner, no actual mattress like the other beds so ended up using two mattress liners and doubling them up. seriously need double glazing! it was so clear to hear everything outside i may as well of slept on the pavement with my mattress liners.
2013-06-24, The hostel had a good location, but the facilities were poor. Just a refridgerator in the bathroom and there were'nt really a "hang out spot" there. But for for a night or two it works just fine!
2013-06-20, I had an awesome experience here. Everything was great, the staff could have definitely been more friendly though!
2013-06-18, Really enjoyed my stay in Amsterdam would definetly stay at the Aivengo hostel again if I went back to Amsterdam.
2013-06-23, The 20 bed room is pretty easy to get into but you get a locker so not fussed. Missing a common room to meet people if you are a single traveller. Staff were great, location is good, I walked everywhere easily. Wifi everywhere too which is nice. Good value for money of tou are on a budget
2013-06-18, Staff was not kind at all. She just did her job. She did not have any hospitality. I reported something and she ignored, which did not show me if she understood my report or not.\r The entrance atmosphere was bad. It scared me staying there.
2013-06-19, Booking 2 weeks in advance, this was the cheapest hostel we could find (17 euros a night!!). Good location and helpful staff. Except they started playing dubstep at 8.30am and turning the lights on of our dorm and leaving the door open. Very few plugs and seriously uncomfortable beds. Felt like lying on a bed of springs.
2013-06-16, Very good hostel with helpful staff you help us charge our devices. Good atmosphere with very nice guests who were happy to share their experiences. Bathroom and toilets were clean enough.
2013-06-20, Good location next to centraal station and walking distance to most of the tourist attractions. Only criticisms would be that the bed wasn't that great and there was no communal area for meeting people, although the dorm turned out to be quite a fun place to drink! It was nice having wi-fi in the room as well. Would recommend for the price that we paid.
2013-06-11, A fair hostel for the price but lacked any atmosphere. No communal sitting area or kitchen didn't help.
2013-06-11, Not coming back..
2013-06-12, Cozy hostelet with a bohemian feel to it an a very helpful staff! Could use some better curtains/window blinders but at least we got up in time ;) The location was the best!! Easy access to all of the city, will def. recommend it to other friends.
2013-06-11, Bathrooms were really clean, but the floors were somewhat dirty. Couldn't have asked for a better location.
2013-06-08, The guy reception was very helpful. 20 bed dorm was spacious. Open plan 10 female was nice (no 'real', but fridge, microwave, kettle, plate etc..)
2013-06-04, Stay for 3 nights.\r Room is big. Staffs are helpful.\r Only 2 plugs in a 10 ppl dorm.\r No kitchen.\r Overall not bad. Recommended.
2013-06-17, From reading other reviews of this hostel I was weary of going to stay there but on my arrival i found the hostel very nice! The staff were not that friendly but its fine because you dont see them that much! I stayed in a 10 bed female dorm which was very nice but the stairs was very steep and alot of it! so I would suggest staying in a dorm 10 beds or less because the bad reviews are from the doorms that are about 20 beds.
2013-06-09, a toilet seat is the least i expect, this hostel is not in India. hardly any power points to charge things, most awful mattresses ever (unless i was very unlucky) and no common area despite being told there was. and i hope you don't like windows, because there weren't any.
2013-06-01, Enjoyed the stay, and liked the view on Amsterdam's streets (room on the 5th floor)
2013-06-04, Cool Scottish chick working on Reception -- gave us some nice tips. An easy to find hostel, right near Centraal Station and main tram line. Probably could've done with thicker blankets as we got cold sleeping! Friendly atmosphere though and clean showers/toilets. Would recommend.
2013-05-30, Good location and decent price. The set up of the hostel is weird. The bathroom is in the lobby, it's kind of one big room. There are no toilet seats in any of the bathroom stalls. The front door is also always left unlocked/wide open, even at night. Overall, It was okay but Im sure there are better hostels out there.
